Task,Topic
"PURSUANT to Standing Order No. 29 of the Embu County Assembly Standing Orders, it is notified for the information of the Members of the County Assembly of Embu and the general public that on the request of the Leader of Majority in consultation with the Committee on Appointments, there shall be special sittings of the County Assembly to be held in the County Assembly Chambers, Embu, Spring Valley area, along James Nyaga Crescent Road off Embuâ€“Meru Highway on Monday, 9th October, 2017 and Monday, 16th October, 2017 as follows",Appointments
"IN EXERCISE of the authority conferred in me by the Constitution of Kenya, the County Governments Act and the Public Appointments (County Assemblies Approval) Act, I, appoint",Appointments
"IT IS NOTIFIED for the information of the general public that Monday, 2nd May, 2016, will be a Public Holiday pursuant to section 3 of the Public Holidays Act.",public holidays
"IT IS notified for the information of the general public that Saturday, 14th December, 2013, will be a Public Holiday pursuant to section 3 of the Public Holidays Act.",public holidays
"IT IS notified for general information that Monday, 2nd June, 2014, will be a Public Holiday pursuant to section 4 of the Public Holidays Act.",public holidays
"IT IS notified for general information that Thursday, 26thNovember, 2015 will be a public holiday pursuant to section 3 of the Public Holidays Act.",public holidays
"IT IS notified for general information that Thursday, 7th July, 2016 will be observed as a public holiday to mark Idd-Ul-Fitr Day, pursuant to section 3 of the Public Holidays Act.",public holidays
"The Christmas Vacation of the High Court of Kenya, other than in the Coast Province, shall commence on 21st December, 2010 and terminate on 13th January, 2011 both days iinclusive.",public holidays
"IT IS notified for general information that Monday, 20th August, 2012, will be observed as a public holiday to mark Idd-Ul-Fitr, 2012.",public holidays
"IT IS notified for general information that Tuesday, 29th July, 2014, will be observed as a public holiday to mark Idd-Ul-Fitr Day, 2014.",public holidays
"THE Summer vacation shall commence on Sunday, 1st August, 2010 and shall terminate on Wednesday, 15th September, 2010.",public holidays
"THE Easter Vacation shall commence on 25th March, 2010 and shall terminate on 13th April, 2010.",public holidays
"IT IS notified for general information that Wednesday, 31st August, 2011, will be observed as a public holiday to mark Idd-Ul-Fitr Day, 2011.",public holidays
"THE Summer Vacation shall commence on Monday the 3rd August, 2015 and shall terminate on Tuesday, the 15th September, 2015. ",public holidays
"THE Summer Vacation shall commence on  1st August, 2011  and shall terminate on Thursday, 15th September, 2011.",public holidays
"THE Christmas vacation shall commence on Wednesday, 21st December, 2011  and shall terminate on Friday, 13th January, 2012.",public holidays
"The Easter Vacation of the Supreme Court shall commence on 15th March, 2016 and terminate on 30th March, 2016 both days inclusive.",public holidays
"The Supreme Court Easter Vacation shall commence on 10th of April, 2014 and terminate on 29th April, 2014 both days inclusive.",public holidays
"The Christmas Vacation of the Supreme Court shall commence on Thursday, 21st December, 2017 and terminate on Monday, 15th January, 2018, both days inclusive.",public holidays
"The Easter Vacation of the Supreme Court shall commence on 1st August, 2015 and terminate on 15th September, 2015 both days inclusive.",public holidays
"The Supreme Court Christmas Vacation shall commence on 22nd December, 2014, and terminate on 13th January, 2015 both days inclusive.",public holidays
"The Supreme Court Christmas vacation shall commence on 21st December, 2013, and terminate on 13th January, 2014 both days inclusive.",public holidays
"THE Easter Vacation shall commence on Thursday, 29th March, 2012, and shall terminate on Tuesday, 17th April, 2012.",public holidays
"The Easter Recess of the High Court and Courts of Equal Status shall commence on 22nd March, 2018 and terminate on 3rd April, 2018, both days inclusive.",public holidays
"The Christmas Recess of the High Court and Courts of Equal Status shall commence on 21st December, 2019 and terminate on 14th January, 2010, both days inclusive.",public holidays
"The Christmas Recess of the High Court and Courts of Equal Status shall commence on 21st December, 2019 and terminate on 14th January, 2010, both days inclusive.",public holidays
"The Christmas Recess of the High Court and Courts of Equal Status shall commence on Friday, 21st December, 2018 and terminate on Monday, 14th January, 2019, both days inclusive. ",public holidays
"The Easter Vacation of the High Court in the Coast Province shall commence on 31st March, 2012, and shall terminate on 17th April, 2012 both days inclusive.",public holidays
"The Christmas Recess of the High Court and Courts of Equal Status shall commence on Thursday, 21st December, 2017 and terminate on Sunday, 14th January, 2018, both days inclusive.",public holidays
"The Christmas Recess of the High Court and Courts of Equal Status shall commence on 21st December, 2020 and terminate on 14th January, 2021, both days inclusive.",public holidays
"The Christmas Recess of the High Court and Courts of Equal Status shall commence on 21st December, 2021 and terminate on 14th January, 2022, both days inclusive.",public holidays
"The Easter Recess of the High Court and Courts of Equal Status shall commence on 22nd March, 2019 and terminate on 3rd April, 2020, both days inclusive.",public holidays
"The Easter Recess of the High Court and Courts of Equal Status shall commence on 22nd March, 2020 and terminate on 3rd April, 2021, both days inclusive.",public holidays
"The Easter Recess of the High Court and Courts of Equal Status shall commence on 22nd March, 2021 and terminate on 3rd April, 2022, both days inclusive.",public holidays
"IN EXERCISE of the authority conferred in me by the Constitution of Kenya, the County Governments Act and the Public Appointments (County Assemblies Approval) Act, I, appoint—",Appointments
"IN EXERCISE of the authority conferred in me by the Constitution of Kenya, the County Governments Act and the Public Appointments ",Appointments
"IN EXERCISE of the powers bestowed on me under section 35 of the County Governments Act, and section 11 (2) of the Public Appointments ",Appointments
PURSUANT to Standing Order No. 26 of the Siaya County Assembly Standing Orders and following a request by the Leader of Majority Party,Appointments
"NOTICE is given to all Members of the County Assembly of Kirinyaga that pursuant to Standing Order 26 of the County Assembly Standing Orders, ",Appointments
"NOTICE is given to all Members of the County Assembly of Kirinyaga that pursuant to Standing Order 26 of the County Assembly Standing Orders, ",Appointments
"IN  EXERCISE of  powers conferred by  Article 235  (1)  of  the Constitution of Kenya as read together with section 58 (1) (a), (b) and (4) of the County Governments Act",Appointments
"Appointment of Provincial, District and Sub-District HOSPITAL MANAGEMENT COMMITTEES",Appointments
The appointment* of Ms. Milka Barasa is revoked,Appointments
The appointments* of Dr. Burton Wagacha and Susan Mwariri are revoked.,Appointments
The appointments* of Fr. Louis Ose Orpella and Yulia Hagayoye Tola are revoked.,Appointments
The appointments* of David Wamalwa Susan Mbocha and Aidarus Sayed Abdulrahman are revoked.,Appointments
"The appointments** of Stephen Njihia, Ann Njeri and Jaldesa Nguyo are revoked.",Appointments
The appointment* of Seth Oluoch (Deceased) is revoked.,Appointments
"The appointments** of Mr. Bob Patrick Madanji, Mohamed Aslam Khan, Rhoda Obadha, Shem Onyango Okeyo is revoked.",Appointments
The appointment* of Mr. Richard Koech is revoked.,Appointments
"IN EXERCISE of the authority conferred in me by the Constitution of Kenya, the County Government Act and the Public Appointments (County Assemblies Approval) ",Appointments
"IN EXERCISE of the powers conferred by Article 179 (2) (b) of the Constitution as read with section 30 (2) (d), (e) and 35 of the County Governments Act, 2012,",Appointments
"IN EXERCISE of the powers conferred by section 3 (3) of the Geologists Registration Act and in particular paragraph 1 (2) (a) of the schedule thereto, ",Appointments
TAKE NOTICE that the appointment of members of Vihiga County Referral Hospital Management Committee contained in the Gazette Notice No.7855 of 2015 is revoked.,Appointments
"IN EXERCISE of the powers conferred by section 5 (1) (f) of the Kenya Airports Authority Act, the Minister for Transport appoints—",Appointments
"IN EXERCISE of the mandate conferred by section 3 (1) (a), (c), (h), (e), and (g) of the Auctioneers Act (Cap. 526 of 1996) laws of Kenya, the Chief Justice makes the following appointments",Appointments
"IN EXERCISE of the authority conferred in me by the Constitution of Kenya, the County Government Act and the Public Appointments ",Appointments
"to be Trustees of the National Social Security Fund Board of Trustees, for a period of three (3) years. The appointments* ",Appointments
"IN EXERCISE of the powers conferred by section 7 (3) of the State Corporations Act I, Uhuru Kenyatta, President and Commander-in-Chief of the Kenya Defence Forces, appoint",Appointments
IT IS notified for the general information of the Public that the Cabinet Secretary for Education has revoked the appointments of the following:,Appointments
"Assembly Chamber, Isiolo, on Friday, 10th January, 2014 at 2.30 p.m., on the matter of recent various appointments by the Executive in the County Government.",Appointments
"Assembly Chamber in Isiolo, on Tuesday, 28th January, 2014 at 2.30 p.m. for the tabling of Report of the Joint Committee on the recent appointments",Appointments
"NOTICE given under Disposal of Uncollected Goods Act (Cap.38) of the laws of Kenya from Messrs. Ray Securior Group Limited, Nairobi and of P.O. Box 3719–00100, Nairobi to Messrs. Keysian Auctioneers of P.O. Box 2788–00200, Nairobi and Peter Mitema of P.O. Box 4614–00100, Nairobi who brought and stored Motor Vehicle Reg No. KBS 752J, Toyota Town Ace, that the same shall be sold by private treaty or by public auction after expiry of thirty (30) days from the date of publication of this notice without any further reference to yourselves or the owners unless the total outstanding storage and other incidentals amounting to KSh. 460,520.00 as at 31st December, 2018 which amount continue to attract storage until full payment is  received.",Tender
"NOTICE is given pursuant to the Disposal of Uncollected Goods Act (Cap. 38) of the laws of Kenya to the owners of sofa sets, assorted office furniture, thermal roll papers, insects and mosquito repellants and power cables to take delivery of the said goods which are currently lying at Subaru Kenya godown (D1), along Mombasa Road, opposite Panari Hotel, Nairobi, within thirty (30) days from the date of publication of this notice, upon payment of accumulated storage charges together with interest and costs of this publication and any other incidental costs, failure to which the same shall be disposed off either by public auction by Icon Auctioneers, Tembo Co-op House, 3rd Floor, Moi Avenue, P.O. Box 40781–00100, Nairobi, tender or private treaty and the proceeds of the sale be defrayed against all accrued charges withgout any further reference to the owners",Tender
"
NOTICE is given pursuant to the provisions of sections 6 and 7 of the Disposal of Uncollected Goods Act (Cap. 38) of the laws of Kenya and several notices given to the owner to take delivery, notice of intention to sell is given to Exclusive Autos Limited, the owner of Toyota Hilux, Motor vehicle Reg. No. KBD 957G, who has failed to take delivery of the same lying in the store of Trackit Limited (In Recievership) situate at Godown Number 4, on L.R. No. 209/9707, off Mombasa Road, Nairobi City County. That the said Trackit Limited (In Recievership) intends to sell the said motor vehicle either by public auction or private treaty without further notice to the owner thirty (30) days from the publication of this notice and the proceeds of such sale shall be defrayed against all accrued storage charges and incidental costs including costs of publishing the notices and the balance, if any, shall be at the owners credit but should there be a shortfall, the owner shall be liable thereto.",Tender
"NOTICE is given pursuant to provision of section 5 of the  Disposal of Uncollected Goods Act (Cap. 38) of the laws of Kenya to Fruve Produce, John Ogola, Henry Cowie, Lilian Indiazi, Capital Moving-Guymertens, Winnie Mwikali, Mofra Movers-Jimmy and Proteam Movers-Magiret Wangu, to collect their household/office goods from Packers and Movers Warehouse within fourteen (14) days from the date of publication of this notice upon payment of debt accrued as Warehouse rent plus cost of this publication on the date of collection of the said goods. Failure of the above, the same will be sold by way of public auction or private treaty as it may be necessary.",Tender
"NOTICE is given pursuant to the provisions of sections 6 and 7 of the Disposal of Uncollected Goods Act (Cap. 38) of the laws of Kenya and several notices given to the owner to take delivery, notice of intention to sell is given to Kinza Motors Limited, the owner of Toyota Corolla, Motor vehicle Reg. No. KBE 658H, who has failed to take delivery of the same lying in the store of Trackit Limited (In Recievership) situate at Godown Number 4, on L.R. No. 209/9707, off Mombasa Road, Nairobi City County. That the said Trackit Limited (In Recievership) intends to sell the said motor vehicle either by public auction or private treaty without further notice to the owner thirty (30) days from the publication of this notice and the proceeds of such sale shall be defrayed against all accrued storage charges and incidental costs including costs of publishing the notices and the balance, if any, shall be at the owners credit but should there be a shortfall, the owner shall be liable thereto.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"The proposed project involves construction of 216 residential units, a club house and an 18-hole golf course layout of approximately 6,536m2 constructed to full international and USGS championship specifications complete with a driving range, practice and tuition facilities. The residential units are classified as follows",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PUrsUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"PURSUANT to regulation 21 of Environmental (Impact Assessment and Audit) Regulations, the National Environment Management Authority (NEMA) has received an environmental impact assessment study report for the implementation of the proposed Aberdare Hills Golf Estate and Resort.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"IN EXERCISE of the powers conferred by section  148  of the Local Government Act, the Municipal Council of Voi with the approval of full council, wish to forward these new fees and charges for approval.",Tender
"The Commission takes note of the fundamental role of County Spatial Plans as premier plans that will set the development agenda for the Counties. The County Spatial Plans will be implemented through lower level plans which include; Sectoral Plans, County Integrated Development Plans and Integrated Urban Development Plans.",Tender
"The Commission takes note of the fundamental role of County Spatial Plans as premier plans that will set the development agenda for the Counties. The County Spatial Plans will be implemented through lower level plans which include; Sectoral Plans, County Integrated Development Plans and Integrated Urban Development Plans.",Tender
"The Commission takes note of the fundamental role of County Spatial Plans as premier plans that will set the development agenda for the Counties. The County Spatial Plans will be implemented through lower level plans which include; Sectoral Plans, County Integrated Development Plans and Integrated Urban Development Plans.",Tender
"The Commission takes note of the fundamental role of County Spatial Plans as premier plans that will set the development agenda for the Counties. The County Spatial Plans will be implemented through lower level plans which include; Sectoral Plans, County Integrated Development Plans and Integrated Urban Development Plans.",Tender
"The Commission takes note of the fundamental role of County Spatial Plans as premier plans that will set the development agenda for the Counties. The County Spatial Plans will be implemented through lower level plans which include; Sectoral Plans, County Integrated Development Plans and Integrated Urban Development Plans.",Tender
"The Commission takes note of the fundamental role of County Spatial Plans as premier plans that will set the development agenda for the Counties. The County Spatial Plans will be implemented through lower level plans which include; Sectoral Plans, County Integrated Development Plans and Integrated Urban Development Plans.",Tender
"The Commission takes note of the fundamental role of County Spatial Plans as premier plans that will set the development agenda for the Counties. The County Spatial Plans will be implemented through lower level plans which include; Sectoral Plans, County Integrated Development Plans and Integrated Urban Development Plans.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The County Governments Act, 2012 at section 110 (1) (a) stipulates that the County Spatial Plans shall give effect to the principles and objects of county planning and development contained in section 102 and 103 of the same Act. Further, section 110 (2) (c) (iv) of the Act   requires that the County Spatial Plans should   set out basic guidelines for a land use management system in the County taking into account any guidelines, regulations or laws as provided for under Article 67(2) (h) of the Constitution.",Tender
"The process of preparing the guidelines was participatory involving the County Governments, the Planning Schools, Professional Associations, Sectoral Agencies and Non-State Actors. This provided a rich mix of expertise and experiences resulting in a well-balanced, researched and sound output. The Commission therefore recommends the guidelines as a basis for monitoring and overseeing   preparation, approval, and   implementation   of County Spatial Plans in the country.  ",Tender
"The process of preparing the guidelines was participatory involving the County Governments, the Planning Schools, Professional Associations, Sectoral Agencies and Non-State Actors. This provided a rich mix of expertise and experiences resulting in a well-balanced, researched and sound output. The Commission therefore recommends the guidelines as a basis for monitoring and overseeing   preparation, approval, and   implementation   of County Spatial Plans in the country.  ",Tender
"The process of preparing the guidelines was participatory involving the County Governments, the Planning Schools, Professional Associations, Sectoral Agencies and Non-State Actors. This provided a rich mix of expertise and experiences resulting in a well-balanced, researched and sound output. The Commission therefore recommends the guidelines as a basis for monitoring and overseeing   preparation, approval, and   implementation   of County Spatial Plans in the country.  ",Tender
"The process of preparing the guidelines was participatory involving the County Governments, the Planning Schools, Professional Associations, Sectoral Agencies and Non-State Actors. This provided a rich mix of expertise and experiences resulting in a well-balanced, researched and sound output. The Commission therefore recommends the guidelines as a basis for monitoring and overseeing   preparation, approval, and   implementation   of County Spatial Plans in the country.  ",Tender
"The process of preparing the guidelines was participatory involving the County Governments, the Planning Schools, Professional Associations, Sectoral Agencies and Non-State Actors. This provided a rich mix of expertise and experiences resulting in a well-balanced, researched and sound output. The Commission therefore recommends the guidelines as a basis for monitoring and overseeing   preparation, approval, and   implementation   of County Spatial Plans in the country.  ",Tender
"The process of preparing the guidelines was participatory involving the County Governments, the Planning Schools, Professional Associations, Sectoral Agencies and Non-State Actors. This provided a rich mix of expertise and experiences resulting in a well-balanced, researched and sound output. The Commission therefore recommends the guidelines as a basis for monitoring and overseeing   preparation, approval, and   implementation   of County Spatial Plans in the country.  ",Tender
"The process of preparing the guidelines was participatory involving the County Governments, the Planning Schools, Professional Associations, Sectoral Agencies and Non-State Actors. This provided a rich mix of expertise and experiences resulting in a well-balanced, researched and sound output. The Commission therefore recommends the guidelines as a basis for monitoring and overseeing   preparation, approval, and   implementation   of County Spatial Plans in the country.  ",Tender
"Notification shall be communicated to the successful firm in writing giving details and instructions within the specified timeframe as provided for in the PP&DA   Section 67 (1,2,3).After the award and notification, the county secretary shall appoint the county director of land use planning as the project manager. The contract shall commence after the contract has been signed by county government and the consultant.",Tender
"Notification shall be communicated to the successful firm in writing giving details and instructions within the specified timeframe as provided for in the PP&DA   Section 67 (1,2,3).After the award and notification, the county secretary shall appoint the county director of land use planning as the project manager. The contract shall commence after the contract has been signed by county government and the consultant.",Tender
"Notification shall be communicated to the successful firm in writing giving details and instructions within the specified timeframe as provided for in the PP&DA   Section 67 (1,2,3).After the award and notification, the county secretary shall appoint the county director of land use planning as the project manager. The contract shall commence after the contract has been signed by county government and the consultant.",Tender
"Notification shall be communicated to the successful firm in writing giving details and instructions within the specified timeframe as provided for in the PP&DA   Section 67 (1,2,3).After the award and notification, the county secretary shall appoint the county director of land use planning as the project manager. The contract shall commence after the contract has been signed by county government and the consultant.",Tender
"Notification shall be communicated to the successful firm in writing giving details and instructions within the specified timeframe as provided for in the PP&DA   Section 67 (1,2,3).After the award and notification, the county secretary shall appoint the county director of land use planning as the project manager. The contract shall commence after the contract has been signed by county government and the consultant.",Tender
